Name,Description,Type,Business Topic,Geography,Certifications,Additional Experience,Diversity,Engagement Model,Industries,Languages,URL
Ernst & Young (Brazil),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (Canada),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (China),,Consulting,,China,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13793.html
Ernst & Young (Hong Kong),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (India),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (Italy),,Consulting,,Italy,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4494.html
Ernst & Young (Japan),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12432.html
Ernst & Young (Malaysia),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (New Zealand),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (Norway),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (Poland),,Consulting,,Poland,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9943.html
Ernst & Young (Romania),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (Slovenia),,Consulting,,North Macedonia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8273.html
Ernst & Young (South Africa),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (Spain),,Consulting,,Spain,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/4003.html
Ernst & Young (Taiwan),,Consulting,,,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/12363.html
Ernst & Young (Turkey),,Consulting,,Turkey,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/13129.html
Ernst & Young (UK),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (US),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young (Vietnam),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ernst & Young Global (Asia Pacific) Pte Ltd,,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/featured-partner-ey.html
Ero Serviços Empresariais,,Consulting,,Brazil,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9627.html
ERP Soluciones SA de CV,,Reseller,,Mexico,,,,Reseller,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8830.html
Erste Digital GmbH,,Consulting,,Austria,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/7937.html
Esbico,,Consulting,,Netherlands,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8025.html
Esgyn Corporation,,Ecosystem,,,,,,Data Management,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/10879.html
Esri (Environmental Systems Research Inst Inc),,,,,,,,,,,https://www.sas.com/en_us/partners/find-a-partner/alliance-partners/esri.html
Ethernaut Information Technologies doo,,Consulting,,Croatia,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/11017.html
Ethics Consultancy Zimbabwe (Pvt) Ltd,,Consulting,,Zimbabwe,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/8472.html
Evalueserve Chile SA,,Consulting,,Chile,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/9467.html
Everis (Brazil),,Consulting,,Brazil,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/5012.html
Everis (Spain),,Consulting,,Spain,,,,Sell With,,,https://www.sas.com/en_us/partners/find-a-partner/all-partners/3594.html
